Brand,Phone_Name,Price,MarketPrice,Discount,Link,ImageLink
Infinix,Infinix Hot 12 Play,"Rs. 34,099","
                Rs. 35,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-12-play,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Hot 12i,"Rs. 38,099","
                Rs. 42,000            ","
                (9% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-12i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Blade A31 Plus,"Rs. 18,799","
                Rs. 22,299            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/zte/zte-blade-a31-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Jazz,Jazz Digit E3 Pro 4G,"Rs. 9,899","
                Rs. 10,999            ","
                (10% OFF)            ",https://priceoye.pk/mobiles/digit/digit-e3-pro-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C25Y,"Rs. 36,699","
                Rs. 49,999            ","
                (27% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c25y,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A13,"Rs. 50,999","
                Rs. 57,999            ","
                (12% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a13,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Blade A52,"Rs. 26,499","
                Rs. 36,199            ","
                (27% OFF)            ",https://priceoye.pk/mobiles/zte/zte-blade-a52,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Note 12 G88,"Rs. 49,499","
                Rs. 58,999            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-note-12-g88,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A32,"Rs. 79,999","
                Rs. 84,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a32,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme Narzo 50,"Rs. 40,699","
                Rs. 47,999            ","
                (15% OFF)            ",https://priceoye.pk/mobiles/realme/realme-narzo-50,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A23,"Rs. 71,899","
                Rs. 78,500            ","
                (8% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a23,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Note 12 G96,"Rs. 51,799","
                Rs. 54,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-note-12-g96,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A53 5G,"Rs. 112,999","
                Rs. 133,999            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a53,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel P17 Pro,"Rs. 18,299","
                Rs. 23,999            ","
                (24% OFF)            ",https://priceoye.pk/mobiles/itel/itel-p17-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi A1+,"Rs. 24,999","
                Rs. 26,999            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-a1,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme 9 Pro Plus,"Rs. 87,499","
                Rs. 96,999            ","
                (10% OFF)            ",https://priceoye.pk/mobiles/realme/realme-9-pro-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Hot 11 Play,"Rs. 36,999","
                Rs. 39,999            ","
                (8% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-11-play,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Zero 20,"Rs. 78,999","
                Rs. 79,999            ","
                (1% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-zero-20,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Jazz,Jazz Digit Energy 4G,"Rs. 9,099","
                Rs. 10,900            ","
                (17% OFF)            ",https://priceoye.pk/mobiles/digit/jazz-digit-energy-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi 10A,"Rs. 34,399","
                Rs. 38,999            ","
                (12% OFF)            ",https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-10a,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A96,"Rs. 72,199","
                Rs. 77,999            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-a96,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A57,"Rs. 52,699","
                Rs. 54,999            ","
                (4% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-a57-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A04,"Rs. 34,799","
                Rs. 37,500            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a04,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel A23 Pro,"Rs. 14,099","
                Rs. 17,999            ","
                (22% OFF)            ",https://priceoye.pk/mobiles/itel/itel-a23-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A16,"Rs. 49,399","
                Rs. 49,999            ","
                (1% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-a16,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A16e,"Rs. 43,499",,,https://priceoye.pk/mobiles/oppo/oppo-a16e,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C35,"Rs. 47,499","
                Rs. 59,999            ","
                (21% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c35,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C21,"Rs. 31,899","
                Rs. 32,099            ","
                (1% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c21,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo F21 Pro,"Rs. 93,199","
                Rs. 93,299            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-f21-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A54,"Rs. 56,299","
                Rs. 59,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-a54,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Camon 19 Neo,"Rs. 43,999","
                Rs. 44,999            ","
                (2% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-camon-19-neo,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy Z Fold 4,"Rs. 395,999","
                Rs. 539,999            ","
                (27% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-fold-4,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Pova Neo 2,"Rs. 40,099","
                Rs. 41,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-pova-neo-2,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme 9 4G,"Rs. 75,199","
                Rs. 75,299            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/realme/realme-9-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel Value 100,"Rs. 2,749",,,https://priceoye.pk/mobiles/itel/itel-value-100,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Sparx,Sparx S9,"Rs. 19,599","
                Rs. 20,999            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/sparx/sparx-s9,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo V25 5G,"Rs. 140,499","
                Rs. 140,999            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/vivo/vivo-v25,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel Magic 3 Titan,"Rs. 4,599","
                Rs. 5,499            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/itel/itel-magic-3-titan,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Hot 20i,"Rs. 35,749","
                Rs. 43,999            ","
                (19% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-20i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C25s,"Rs. 41,599","
                Rs. 54,999            ","
                (24% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c25s,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Smart 6,"Rs. 32,999","
                Rs. 38,999            ","
                (15% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-smart-6,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme GT Master Edition,"Rs. 102,299",,,https://priceoye.pk/mobiles/realme/realme-gt-master-edition,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel 5026,"Rs. 3,599",,,https://priceoye.pk/mobiles/itel/itel-5026,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y16,"Rs. 51,699","
                Rs. 62,999            ","
                (18% OFF)            ",https://priceoye.pk/mobiles/vivo/vivo-y16,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Jazz,Jazz Digit Music 4G,"Rs. 7,499","
                Rs. 8,999            ","
                (17% OFF)            ",https://priceoye.pk/mobiles/jazz-digit/jazz-digit-music-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Digit,Digit Play 1,"Rs. 21,999","
                Rs. 23,299            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/digit/digit-play-1,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi 10C,"Rs. 45,299","
                Rs. 49,999            ","
                (9% OFF)            ",https://priceoye.pk/mobiles/xiaomi/redmi-10c,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C30,"Rs. 33,399","
                Rs. 34,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c30,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y22,"Rs. 57,699","
                Rs. 69,999            ","
                (18% OFF)            ",https://priceoye.pk/mobiles/vivo/vivo-y22,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Pova Neo,"Rs. 33,099","
                Rs. 34,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-pova-neo,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GRESSO,GRESSO E1280,"Rs. 2,499",,,https://priceoye.pk/mobiles/gresso/gresso-e1280,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy Z Flip 4,"Rs. 274,999","
                Rs. 332,999            ","
                (17% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-flip-4,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi E8 Classic,"Rs. 3,999",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-e8-classic,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Sparx,Sparx Neo 7 Pro,"Rs. 29,299","
                Rs. 31,499            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/sparx/sparx-neo-7-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel Muzik 400,"Rs. 4,299","
                Rs. 4,499            ","
                (4% OFF)            ",https://priceoye.pk/mobiles/itel/itel-muzik-400,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy S21 FE,"Rs. 151,499","
                Rs. 162,999            ","
                (7% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-s21-fe,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel Value 100s,"Rs. 2,699","
                Rs. 2,799            ","
                (4% OFF)            ",https://priceoye.pk/mobiles/itel/itel-value-100s,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Hot 12,"Rs. 42,799","
                Rs. 44,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-12,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme 9i,"Rs. 69,199","
                Rs. 72,299            ","
                (4% OFF)            ",https://priceoye.pk/mobiles/realme/realme-9i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy S22 Ultra,"Rs. 359,999","
                Rs. 424,999            ","
                (15% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-s22-ultra,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A76,"Rs. 64,899","
                Rs. 65,999            ","
                (2% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-a76,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Magic Star,"Rs. 2,799",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-magic-star,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Spice,Spice S5026,"Rs. 2,899",,,https://priceoye.pk/mobiles/spice/spice-s5026,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive Style,"Rs. 3,699",,,https://priceoye.pk/mobiles/gfive/gfive-style,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi E5310 Lite,"Rs. 3,949",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-e5310-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Spark 9T,"Rs. 38,999","
                Rs. 44,999            ","
                (13% OFF)            ",https://priceoye.pk/mobiles/tecno/tecno-spark-9t,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Champion,"Rs. 3,399",,,https://priceoye.pk/mobiles/xmobile/xmobile-champion,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi B105 Lite,"Rs. 2,999",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-b105-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia C31,"Rs. 39,499","
                Rs. 40,500            ","
                (2% OFF)            ",https://priceoye.pk/mobiles/nokia/nokia-c31,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
QMobile,QMobile E400i,"Rs. 3,649",,,https://priceoye.pk/mobiles/qmobile/qmobile-e400i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X4 Lite,"Rs. 3,499",,,https://priceoye.pk/mobiles/xmobile/xmobile-x4-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Disco Plus,"Rs. 4,099",,,https://priceoye.pk/mobiles/xmobile/xmobile-disco-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Club,Club Mobile A3000,"Rs. 3,799",,,https://priceoye.pk/mobiles/club-mobile/club-mobile-a3000,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel A26,"Rs. 22,399",,,https://priceoye.pk/mobiles/itel/itel-a26,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi Note 11,"Rs. 69,999",,,https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-note-11,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y21,"Rs. 53,199",,,https://priceoye.pk/mobiles/vivo/vivo-y21,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i10,"Rs. 4,299",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i10,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAXX,REMAXX R105,"Rs. 2,549",,,https://priceoye.pk/mobiles/remaxx/remaxx-r105,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Apple,Apple iPhone 14 Pro,"Rs. 505,999","
                Rs. 520,999            ","
                (3% OFF)            ",https://priceoye.pk/mobiles/apple/apple-iphone-14-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL S9,"Rs. 4,449",,,https://priceoye.pk/mobiles/vgo-tel/vgotel-s9,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X2 Play,"Rs. 2,699",,,https://priceoye.pk/mobiles/xmobile/xmobile-x2-play,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L788,"Rs. 2,849",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l788,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive Gold,"Rs. 2,999",,,https://priceoye.pk/mobiles/oneplus/gfive-gold,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL S22,"Rs. 4,899",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-s22,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi E5310,"Rs. 4,099",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-e5310,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel A27,"Rs. 18,999","
                Rs. 20,999            ","
                (10% OFF)            ",https://priceoye.pk/mobiles/itel/itel-a27,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo F21 Pro 5G,"Rs. 105,199","
                Rs. 105,299            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/oppo/oppo-f21-pro-5g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L108,"Rs. 2,699",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l108,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel Vision 3,"Rs. 24,399","
                Rs. 25,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/itel/itel-vision-3,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL S10,"Rs. 4,399",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-s10,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile Music Ka Sultan Plus,"Rs. 3,599",,,https://priceoye.pk/mobiles/xmobile/xmobile-music-ka-sultan-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
