Brand,Phone_Name,Price,MarketPrice,Discount,Link,ImageLink
Infinix,Infinix Smart 7,"Rs. 30,799","
                Rs. 39,999            ","
                (23% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-smart-7,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y73,"Rs. 85,699","
                Rs. 89,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/vivo/vivo-y73,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia 106 (2018),"Rs. 5,299","
                Rs. 5,300            ","
                (0% OFF)            ",https://priceoye.pk/mobiles/nokia/nokia-106-2018,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y21T,"Rs. 70,299",,,https://priceoye.pk/mobiles/vivo/vivo-y21t,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C33,"Rs. 45,099","
                Rs. 48,999            ","
                (8% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c33,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi Note 12,"Rs. 79,999",,,https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-note-12,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Note 12 VIP,"Rs. 89,999",,,https://priceoye.pk/mobiles/infinix/infinix-note-12-vip,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y33s,"Rs. 51,999",,,https://priceoye.pk/mobiles/vivo/vivo-y33s,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Camon 18P,"Rs. 45,499",,,https://priceoye.pk/mobiles/tecno/tecno-camon-18p,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL iMusic,"Rs. 4,349",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-imusic,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Jazz,Jazz Digit Crown 4G,"Rs. 6,299",,,https://priceoye.pk/mobiles/digit/jazz-digit-crown-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy S22,"Rs. 232,999",,,https://priceoye.pk/mobiles/samsung/samsung-galaxy-s22,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
QMobile,QMobile SL50i,"Rs. 3,999",,,https://priceoye.pk/mobiles/qmobile/qmobile-sl50i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i12,"Rs. 4,699",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i12,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Camon 19 Pro,"Rs. 49,999",,,https://priceoye.pk/mobiles/tecno/tecno-camon-19-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi B12,"Rs. 2,749",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-b12,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL Four 22,"Rs. 4,099",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-four-22,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Redmagic 6s Pro Ghost Edition,"Rs. 162,499",,,https://priceoye.pk/mobiles/zte/zte-redmagic-6s-pro-ghost-edition,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oukitel,Oukitel C18 Pro,"Rs. 36,999",,,https://priceoye.pk/mobiles/oukitel/oukitel-c18-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia 105 2022,"Rs. 4,799",,,https://priceoye.pk/mobiles/nokia/nokia-105-2022,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi Note 11 Pro,"Rs. 45,999",,,https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-note-11-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo X80,"Rs. 185,499",,,https://priceoye.pk/mobiles/vivo/vivo-x80,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive Big Fighter,"Rs. 2,749",,,https://priceoye.pk/mobiles/gfive/gfive-big-fighter,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive Fighter,"Rs. 2,749",,,https://priceoye.pk/mobiles/gfive/gfive-fighter,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi B555,"Rs. 2,649",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-b555,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
XMobile,XMobile X1 Lite,"Rs. 2,399",,,https://priceoye.pk/mobiles/xmobile/xmobile-x1-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi iPro,"Rs. 4,199",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-ipro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Apple,Apple iPhone 11,"Rs. 144,900",,,https://priceoye.pk/mobiles/apple/apple-iphone-xi,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Redmagic 6s Pro Cyborg Edition,"Rs. 150,299",,,https://priceoye.pk/mobiles/zte/zte-redmagic-6s-pro-cyborg-edition,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile M-1110,"Rs. 2,200",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-m-1110,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL Four 44,"Rs. 4,299",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-four-44,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A52s 5G,"Rs. 84,999",,,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a52s-5g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi Note 11,"Rs. 54,999",,,https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-note-11,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Dcode,Dcode Cypher,"Rs. 36,999",,,https://priceoye.pk/mobiles/dcode/dcode-cypher,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y55,"Rs. 77,299",,,https://priceoye.pk/mobiles/vivo/vivo-y55,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
QMobile,QMobile SL100,"Rs. 3,899",,,https://priceoye.pk/mobiles/qmobile/qmobile-sl100,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive Rose,"Rs. 3,499",,,https://priceoye.pk/mobiles/gfive/gfive-rose,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia 105,"Rs. 5,249",,,https://priceoye.pk/mobiles/nokia/nokia-105,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
QMobile,QMobile Music Ka Sultan,"Rs. 3,799",,,https://priceoye.pk/mobiles/qmobile/qmobile-music-ka-sultan,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia 110 (2019),"Rs. 3,999",,,https://priceoye.pk/mobiles/nokia/nokia-110-2019,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A22,"Rs. 59,999",,,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a22,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi Redmi 9C,"Rs. 29,999",,,https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-9c,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL Smart HI-FI,"Rs. 5,599",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-smart-hi-fi,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Dcode,Dcode Cygnal,"Rs. 21,499",,,https://priceoye.pk/mobiles/dcode/dcode-cygnal,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Camon 19 Pro Mondrian,"Rs. 64,999",,,https://priceoye.pk/mobiles/tecno/tecno-camon-19-pro-mondrian,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia C21,"Rs. 19,999",,,https://priceoye.pk/mobiles/nokia/nokia-c21,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Club,Club Mobile Ali Baba,"Rs. 2,699",,,https://priceoye.pk/mobiles/club-mobile/club-mobile-ali-baba,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Jazz,Jazz Digit Shine 4G,"Rs. 7,599",,,https://priceoye.pk/mobiles/digit/jazz-digit-shine-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A12,"Rs. 44,999",,,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a12,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A03,"Rs. 34,999",,,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a03,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i101,"Rs. 2,449",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i101,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i888,"Rs. 3,400",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i888,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i252,"Rs. 3,999",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i252,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile M-1110 Lite,"Rs. 2,325",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-m1110-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi 4 Star,"Rs. 4,199",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-4-star,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
GFive,GFive Boss,"Rs. 3,499",,,https://priceoye.pk/mobiles/gfive/gfive-boss,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Gionee,Gionee Q23,"Rs. 3,299",,,https://priceoye.pk/mobiles/gionee/gionee-q23,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Club,Club Mobile Ali Baba 1,"Rs. 2,699",,,https://priceoye.pk/mobiles/club-mobile/club-mobile-ali-baba-1,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel Power 410,"Rs. 3,199",,,https://priceoye.pk/mobiles/itel/itel-power-410,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Nokia,Nokia 110 4G,"Rs. 5,999",,,https://priceoye.pk/mobiles/nokia/nokia-110-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Apple,Apple iPhone 13,"Rs. 341,999",,,https://priceoye.pk/mobiles/apple/apple-iphone-13,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Dcode,Dcode X,"Rs. 44,999",,,https://priceoye.pk/mobiles/dcode/dcode-x,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Xiaomi,Xiaomi 12,"Rs. 159,999",,,https://priceoye.pk/mobiles/xiaomi/xiaomi-12,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Itel,Itel Magic 3,"Rs. 5,200",,,https://priceoye.pk/mobiles/itel/itel-magic-3,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi B13,"Rs. 2,799",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-b13,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo F21 Pro 5G (Activated),"Rs. 98,800",,,https://priceoye.pk/mobiles/oppo/oppo-f21-pro-5g-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Y8p,"Rs. 31,299",,,https://priceoye.pk/mobiles/huawei/huawei-y8p,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Y7A,"Rs. 32,999",,,https://priceoye.pk/mobiles/huawei/huawei-y7a,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L110,"Rs. 1,475",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l110,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Power Star,"Rs. 1,575",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-power-star,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile DJ Master,"Rs. 2,099",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-dj-master,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Tecno,Tecno Pop 5,"Rs. 17,299",,,https://priceoye.pk/mobiles/tecno/tecno-pop-5,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i14,"Rs. 3,650",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i14,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAXX,REMAXX Star,"Rs. 2,500",,,https://priceoye.pk/mobiles/remaxx/remaxx-star,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo V25e (Activated),"Rs. 92,500",,,https://priceoye.pk/mobiles/vivo/vivo-v25e-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Y6P,"Rs. 20,299",,,https://priceoye.pk/mobiles/huawei/huawei-y6p,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
itel,itel Muzik 400 Core,"Rs. 3,650",,,https://priceoye.pk/mobiles/itel/itel-muzik-400-core,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Blade A51,"Rs. 20,999",,,https://priceoye.pk/mobiles/zte/zte-blade-a51,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Power Bold,"Rs. 1,699",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-power-bold,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L786,"Rs. 1,350",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l786,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAXX,REMAXX R1280,"Rs. 2,100",,,https://priceoye.pk/mobiles/remaxx/remaxx-r1280,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAXX,REMAXX Hero,"Rs. 2,300",,,https://priceoye.pk/mobiles/remaxx/remaxx-hero,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A57 (Activated),"Rs. 45,900",,,https://priceoye.pk/mobiles/oppo/oppo-a57-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y02s (Activated),"Rs. 41,000",,,https://priceoye.pk/mobiles/vivo/vivo-y02s-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y21T (Activated),"Rs. 53,299",,,https://priceoye.pk/mobiles/vivo/vivo-y21t-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Power Max,"Rs. 1,675",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-power-max,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y33T,"Rs. 51,999",,,https://priceoye.pk/mobiles/vivo/vivo-y33t,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL I550,"Rs. 2,450",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
OnePlus,OnePlus Nord CE 2 5G (Global Version),"Rs. 109,999",,,https://priceoye.pk/mobiles/oneplus/oneplus-nord-ce-2-5g-global-version,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y35 (Activated),"Rs. 79,499",,,https://priceoye.pk/mobiles/vivo/vivo-y35-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y22 (Activated),"Rs. 49,599",,,https://priceoye.pk/mobiles/vivo/vivo-y22-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Honor 9X Lite,"Rs. 29,999",,,https://priceoye.pk/mobiles/huawei/huawei-honor-9x-lite,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Dcode,Dcode Bold,"Rs. 29,999",,,https://priceoye.pk/mobiles/dcode/dcode-bold,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i20,"Rs. 4,499",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i20,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAXX,REMAXX Eco,"Rs. 2,599",,,https://priceoye.pk/mobiles/remaxx/remaxx-eco,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Oppo,Oppo A96 (Activated),"Rs. 69,999",,,https://priceoye.pk/mobiles/oppo/oppo-a96-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Vivo,Vivo Y16 (Activated),"Rs. 54,099",,,https://priceoye.pk/mobiles/vivo/vivo-y16-activated,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me mobile L101,"Rs. 1,425",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l101,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L100,"Rs. 1,350",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l100,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Power Music,"Rs. 1,699",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-power-music,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L106 Pro,"Rs. 1,899",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l106-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile Power 4,"Rs. 3,250",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-power-4,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile M6310,"Rs. 2,230",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-m6310,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Honor 9x Pro,"Rs. 55,999",,,https://priceoye.pk/mobiles/huawei/huawei-honor-9x-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei P40,"Rs. 163,999",,,https://priceoye.pk/mobiles/huawei/huawei-p40,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Enjoy 20 Plus 5G,"Rs. 44,800",,,https://priceoye.pk/mobiles/huawei/huawei-enjoy-20-plus-5g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL I700,"Rs. 2,850",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i700,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL S500,"Rs. 2,450",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-s500,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL V3310,"Rs. 2,499",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-v3310,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
E-Tachi,E-Tachi Star Light,"Rs. 3,175",,,https://priceoye.pk/mobiles/e-tachi/e-tachi-star-light,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Club,Club Mobile Magic 3,"Rs. 4,599",,,https://priceoye.pk/mobiles/club-mobile/club-mobile-magic-3,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
X,X Mobile G3 Plus,"Rs. 3,300",,,https://priceoye.pk/mobiles/xmobile/x-mobile-g3-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
me,me Mobile L102,"Rs. 1,385",,,https://priceoye.pk/mobiles/me-mobile/me-mobile-l102,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei nova 5i Pro,"Rs. 69,999",,,https://priceoye.pk/mobiles/huawei/huawei-nova-5i-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL I800,"Rs. 2,950",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i800,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Spice,Spice Muzik 400 Core,"Rs. 2,550",,,https://priceoye.pk/mobiles/spice/spice-muzik-400-core,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL I255,"Rs. 2,200",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i255,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
VGO,VGO TEL i11,"Rs. 2,900",,,https://priceoye.pk/mobiles/vgo-tel/vgo-tel-i11,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
REMAX,REMAX Thunder Pro,"Rs. 2,710",,,https://priceoye.pk/mobiles/remaxx/remax-thunder-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Faywa,Faywa Magic 2,"Rs. 2,175",,,https://priceoye.pk/mobiles/faywa/faywa-magic-2,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Calme,Calme Classic,"Rs. 2,600",,,https://priceoye.pk/mobiles/calme/calme-classic,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei Nova 5z,"Rs. 38,999",,,https://priceoye.pk/mobiles/huawei/huawei-nova-5z,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Huawei,Huawei P40 Pro,"Rs. 179,999",,,https://priceoye.pk/mobiles/huawei/huawei-p40-pro,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
